100,MAA,2012-11-01,21500
101,BOM,2012-11-01,17563
102,KOL,2012-11-01,32563
103,NDL,2012-11-01,26589
104,PNE,2012-11-01,24523
105,AHD,2012-11-01,19856
106,HYD,2012-11-01,32152
107,BGR,2012-11-01,29632
108,CHG,2012-11-01,28563
109,RPR,2012-11-01,25632
110,TVM,2012-11-01,4521
100,MAA,2012-11-02,23212
101,BOM,2012-11-02,41232
102,KOL,2012-11-02,21563
103,NDL,2012-11-02,12365
104,PNE,2012-11-02,26545
105,AHD,2012-11-02,21356
106,HYD,2012-11-02,29865
107,BGR,2012-11-02,23562
108,CHG,2012-11-02,26589
109,RPR,2012-11-02,32654
110,TVM,2012-11-02,9656
100,MAA,2012-11-03,29654
101,BOM,2012-11-03,23654
102,KOL,2012-11-03,31245
103,NDL,2012-11-03,30005
104,PNE,2012-11-03,36521
105,AHD,2012-11-03,25465
106,HYD,2012-11-03,35214
107,BGR,2012-11-03,24569
108,CHG,2012-11-03,32542
109,RPR,2012-11-03,29654
110,TVM,2012-11-03,29656
100,MAA,2012-11-04,32487
101,BOM,2012-11-04,32654
102,KOL,2012-11-04,15487
103,NDL,2012-11-04,25698
104,PNE,2012-11-04,32658
105,AHD,2012-11-04,24587
106,HYD,2012-11-04,32658
107,BGR,2012-11-04,25487
108,CHG,2012-11-04,36521
109,RPR,2012-11-04,28965
110,TVM,2012-11-04,25656
100,MAA,2012-11-05,23654
101,BOM,2012-11-05,25987
102,KOL,2012-11-05,14587
103,NDL,2012-11-05,65899
104,PNE,2012-11-05,23658
105,AHD,2012-11-05,28745
106,HYD,2012-11-05,36524
107,BGR,2012-11-05,32547
108,CHG,2012-11-05,26587
109,RPR,2012-11-05,28745
110,TVM,2012-11-05,29646
100,MAA,2012-11-06,26547
101,BOM,2012-11-06,32541
102,KOL,2012-11-06,25478
103,NDL,2012-11-06,25487
104,PNE,2012-11-06,23658
105,AHD,2012-11-06,25471
106,HYD,2012-11-06,25986
107,BGR,2012-11-06,36254
108,CHG,2012-11-06,24782
109,RPR,2012-11-06,25412
110,TVM,2012-11-06,32545
100,MAA,2012-11-07,36521
101,BOM,2012-11-07,24786
102,KOL,2012-11-07,23658
103,NDL,2012-11-07,22451
104,PNE,2012-11-07,23254
105,AHD,2012-11-07,20145
106,HYD,2012-11-07,29002
107,BGR,2012-11-07,32541
108,CHG,2012-11-07,29854
109,RPR,2012-11-07,23542
110,TVM,2012-11-07,18563
100,MAA,2012-11-08,25896
101,BOM,2012-11-08,21478
102,KOL,2012-11-08,31526
103,NDL,2012-11-08,28653
104,PNE,2012-11-08,24125
105,AHD,2012-11-08,23698
106,HYD,2012-11-08,31254
107,BGR,2012-11-08,36521
108,CHG,2012-11-08,25498
109,RPR,2012-11-08,28542
110,TVM,2012-11-08,26352
100,MAA,2012-11-09,24152
101,BOM,2012-11-09,23658
102,KOL,2012-11-09,30124
103,NDL,2012-11-09,32145
104,PNE,2012-11-09,24786
105,AHD,2012-11-09,23569
106,HYD,2012-11-09,25478
107,BGR,2012-11-09,23659
108,CHG,2012-11-09,52368
109,RPR,2012-11-09,32412
110,TVM,2012-11-09,32452
100,MAA,2012-11-10,25698
101,BOM,2012-11-10,23145
102,KOL,2012-11-10,31452
103,NDL,2012-11-10,29856
104,PNE,2012-11-10,25478
105,AHD,2012-11-10,20325
106,HYD,2012-11-10,31487
107,BGR,2012-11-10,25896
108,CHG,2012-11-10,24125
109,RPR,2012-11-10,25632
110,TVM,2012-11-10,31452
100,MAA,2012-11-11,23585
101,BOM,2012-11-11,23658
102,KOL,2012-11-11,36954
103,NDL,2012-11-11,23145
104,PNE,2012-11-11,24523
105,AHD,2012-11-11,23548
106,HYD,2012-11-11,25478
107,BGR,2012-11-11,26589
108,CHG,2012-11-11,24152
109,RPR,2012-11-11,26352
110,TVM,2012-11-11,23452
100,MAA,2012-11-12,24789
101,BOM,2012-11-12,26542
102,KOL,2012-11-12,31245
103,NDL,2012-11-12,25478
104,PNE,2012-11-12,23659
105,AHD,2012-11-12,23145
106,HYD,2012-11-12,30124
107,BGR,2012-11-12,30698
108,CHG,2012-11-12,12586
109,RPR,2012-11-12,24125
110,TVM,2012-11-12,29632
